4001504012083	95049090
4001504013080	95049090
5900221000849	95030099
5900221001754	95030099
5900221001778	95030099
5900221003017	95030099
5900221003192	95030099
5900221003888	95030099
5900221004571	95030099
5900511009880	95049080
5901738561960	95049080
5901738562134	95049080
5901738563117	95049080
5901738563667	95049080
5901738563834	95049080
5901738564640	95049080
5901738565012	95049080
5901838003162	95030070
5902020445524	95049090
5902410006458	95049080
5902410007592	95049080
5902768471588	95044000
5902983490401	95030069
5902983491262	95030069
5902983491927	95030069
5902983492283	95030069
5902983492290	95030069
5902983492443	95030069
5902983492504	95030069
5902983492764	95030069
5902983493020	95030069
5902983493129	95030069
5902983493198	95030069
5902983493211	95030069
5902983493228	95030069
5902983493259	95030069
5902983493372	95030069
5902983493617	95030069
5902983493693	95030069
5902983493761	95030069
5902983494010	95030069
5902983494089	95030069
5902983494096	95030069
5902983494119	95030069
5902983494164	95030069
5903707560158	95049080
5903707560165	95049080
5903707560394	95049080
5903707560578	95049080
5903707560707	95049080
5903728730011	95030069
5903728730660	95030069
5903728730707	95030069
5903728730752	95030069
5903728730769	95030069
5903728730776	95030069
5903728730783	95030069
5903728730820	95030069
5903728730844	95030069
5903728730929	95030069
5903728730936	95030069
5903728730943	95030069
5903728730950	95030069
5903728730974	95030069
5903728730998	95030069
5903728731001	95030069
5903728731018	95030069
5903728731032	95030069
5903728731049	95030069
5903728731056	95030069
5903728731063	95030069
5903728731094	95030069
5903728731131	95030069
5903728731155	95030069
5903728731193	95030069
5903728731209	95030069
5903728731292	95030069
5903728731414	95030069
 5903728731476	95030069
5903728731483	95030069
5903728731490	95030069
5903728731506	95030069
5903728731513	95030069
5903728731520	95030069
5903728731537	95030069
5903728750101	95030069
5903728750118	95030069
5903728750125	95030069
5903728750132	95030069
5903728750156	95030069
5903728750170	95030069
5903728750187	95030069
5903728750194	95030069
5903728750200	95030069
5903728750231	95030069
5903728750262	95030069
5905669520003	95044000
5905669520027	95044000
5905669520034	95044000
5905669520041	95044000
5905669520065	95044000
5905669520072	95044000
5905669520096	95044000
5905669520102	95044000
5905669520119	95044000
5905669520133	95044000
5905669520140	95044000
5905723440292	95044000
5906018002409	95049080
5906018004113	95049080
5906018005974	95049080
5906018015232	95049080
5906018020991	95049080
5906018022391	95049080
5906018026573	95049080
5906018029413	95049080
5906395350148	95049090
5906395350421	95049090
5907518337367	95030099
5907758708606	95044000
5908215002015	95049080
5908215002169	95049080
5908215002596	95049080
5908215003906	95049080
5908215006716	95049080
5908215008840	95049080
5908215009236	95049080
5908215009588	95049080
5908215009656	95049080
5908215010133	95049080
798190005805	95044000
8005125173150	95030035
8005125178780	95030099
8005125179756	95030095
8005125181278	95030095
8005125182107	95030095
8005125182114	95030095
8005125182169	95030095
8005125182183	95030095
8005125188314	95030095
8005125325764	95030069
8005125370443	35061000
8005125503964	95030070
8005125503988	95030095
8005125507559	95030099
8431618008225	95030070
8431618008249	95030070
8431618013410	95030070
8431618018569	95030070
8431618021675	95030070
8431618023174	95030070
8431618023983	95030070
8431618024089	95030070
8431618026663	95030070
8431618030332	95030070
8431618030356	95030070
8431618030394	95030070
8431618030417	95030070
8431618030837	95030070
8431618035801	95030070
8431618035825	95030070
8431618035832	95030070
8431618035849	95030070
8431618036020	95030070
8431618036044	95030070
8431618036105	95030070
8431618036112	95030070
8431618036129	95030070
8431618036747	95030070
8431618039809	95030070
8431618039847	95030070
8431618040164	95030070
8431618040188	95030070
8431618040201	95030070
8431618040843	95030070
8431618040867	95030070
8431618041185	95030070
8431618041208	95030070
8431618041222	95030070
8431618041246	95030070
8431618044490	95030070
8431618044513	95030070
8431618045206	95030070
8431618045220	95030070
8431618045268	95030070
9001890116711	95044000
9001890168918	95044000
9001890217647	95044000
9001890236426	95044000
9001890239236	95044000
9001890243240	95044000
9001890669491	95044000
9001890717291	95044000
9001890787898	95044000
9001890798993	95044000
